File Name,Dataset,aid,Date,Orbit Number,Build ID,Scene ID,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020101180401_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-10 18:04:01 UTC,09999,0601,004,259660.0,7.9347,294.7932,"(7.9347,294.7932)",118.9187,51.1362,2614.9152,157.6801,267.0191,121.7525,7.9347,84.6604
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020102003428_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-11 00:34:28 UTC,10003,0601,009,516682.0,4.4759,233.2254,"(4.4759,233.2254)",71.1088,50.6832,2568.7834,111.4588,233.2254,75.4752,4.4759,20.38
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020105230226_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-14 23:02:26 UTC,10064,0601,010,331573.0,7.1148,230.8361,"(7.1148,230.8361)",63.5984,51.1286,2614.1315,107.4816,219.8442,35.6472,7.1148,32.5063
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020106154440_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-15 15:44:40 UTC,10075,0601,003,89207.0,9.1844,1994.4116,"(9.1844,1994.4116)",82.7509,147.1514,21653.5383,82.4656,148.2545,61.8052,9.1844,38.5723
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020106154532_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-15 15:45:32 UTC,10075,0601,004,1548.0,5.6105,1645.6765,"(5.6105,1645.6765)",29.9261,118.8466,14124.5206,15.0268,24.5532,10.256,5.6105,8.1132
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020109150031_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-18 15:00:31 UTC,10121,0601,004,38531.0,3.4061,1998.4476,"(3.4061,1998.4476)",39.8991,141.9918,20161.6773,30.0612,63.8405,13.5127,3.4061,7.5404
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020109213036_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-18 21:30:36 UTC,10125,0601,010,191518.0,5.9885,1999.0647,"(5.9885,1999.0647)",100.7691,122.0504,14896.2964,163.6698,373.3232,46.0081,5.9885,23.3145
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020113132650_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-22 13:26:50 UTC,10182,0601,004,417509.0,5.4102,316.4124,"(5.4102,316.4124)",44.1895,59.7119,3565.515,19.907,29.3043,15.7012,5.4102,13.6327
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020114123836_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-23 12:38:36 UTC,10197,0601,003,674468.0,33.7007,282.174,"(33.7007,282.174)",100.3936,45.2506,2047.6146,138.5982,254.649,68.6551,33.7007,61.2266
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020114123928_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-23 12:39:28 UTC,10197,0601,004,5606.0,1.5712,1415.9906,"(1.5712,1415.9906)",46.0469,73.3013,5373.0806,87.1123,209.0519,12.3248,1.5712,4.9436
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020121164823_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-04-30 16:48:23 UTC,10308,0601,010,496561.0,35.3041,1531.4307,"(35.3041,1531.4307)",135.3446,44.8631,2012.702,152.2112,223.6404,129.7875,35.3041,104.5897
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020129134001_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-05-08 13:40:01 UTC,10430,0601,008,766973.0,7.3583,1052.9041,"(7.3583,1052.9041)",27.6518,18.1416,329.1178,28.5059,43.2761,24.5456,7.3583,18.6582
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020142013832_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-05-21 01:38:32 UTC,10624,0601,003,21291.0,6.5884,57.3071,"(6.5884,57.3071)",29.2228,8.8604,78.507,35.0196,51.5406,29.1864,7.4611,23.9932
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020145005217_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-05-24 00:52:17 UTC,10670,0601,004,193991.0,23.8921,374.349,"(23.8921,374.349)",60.5845,49.4679,2447.078,55.1108,75.2232,47.1345,23.8921,41.6978
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020146000405_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-05-25 00:04:05 UTC,10685,0601,003,106.0,26.9318,46.9333,"(26.9318,46.9333)",40.6272,3.9549,15.6413,43.2032,46.9333,40.8383,35.9575,38.7486
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020152214321_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-05-31 21:43:21 UTC,10792,0601,004,54471.0,86.9551,602.6552,"(86.9551,602.6552)",160.1903,68.8475,4739.9756,169.8825,237.5403,141.966,86.9551,124.7399
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020156200850_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-04 20:08:50 UTC,10853,0601,004,460760.0,41.3478,1924.2275,"(41.3478,1924.2275)",170.0008,41.9173,1757.0563,191.3837,255.5308,169.7624,84.4695,148.6154
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020160015202_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-08 01:52:02 UTC,10903,0601,012,577081.0,14.9303,1907.5588,"(14.9303,1907.5588)",28.0328,20.4589,418.566,28.7722,35.1595,26.5513,18.1265,24.5138
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020160183417_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-08 18:34:17 UTC,10914,0601,004,1497855.0,79.6261,276.3944,"(79.6261,276.3944)",171.2969,22.4689,504.8533,184.7532,223.3509,171.4238,120.4232,159.021
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020161010357_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-09 01:03:57 UTC,10918,0601,006,3642.0,38.2928,80.3838,"(38.2928,80.3838)",57.8535,5.4326,29.5133,60.8462,70.8669,57.1662,44.2771,54.1513
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020161010449_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-09 01:04:49 UTC,10918,0601,007,25991.0,28.2782,182.4388,"(28.2782,182.4388)",47.8619,17.304,299.4294,49.8256,61.6169,47.2477,29.8571,41.8363
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020164001730_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-12 00:17:30 UTC,10964,0601,007,1200393.0,26.3627,214.4368,"(26.3627,214.4368)",74.1468,21.3734,456.8208,78.6046,99.4412,71.4816,43.8737,64.7122
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020167224249_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-15 22:42:49 UTC,11025,0601,012,1376729.0,32.4987,372.2674,"(32.4987,372.2674)",126.4312,36.207,1310.9463,141.6281,199.0912,123.574,45.854,103.318
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020168152457_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-16 15:24:57 UTC,11036,0601,004,1019231.0,41.971,1999.7867,"(41.971,1999.7867)",109.2042,41.3226,1707.5552,118.8141,153.9808,108.7544,60.2,95.368
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020168215445_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-16 21:54:45 UTC,11040,0601,006,301412.0,38.8893,484.463,"(38.8893,484.463)",141.7256,37.7994,1428.7929,157.1752,213.8583,138.0402,62.6013,119.3404
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020171143759_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-19 14:37:59 UTC,11082,0601,004,94.0,72.9442,78.17,"(72.9442,78.17)",75.0047,1.668,2.7823,76.3342,78.17,74.457,72.9442,73.5167
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020172135016_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-20 13:50:16 UTC,11097,0601,004,1289191.0,28.4677,190.105,"(28.4677,190.105)",57.488,19.0112,361.4255,63.4096,90.7413,53.9781,28.4677,45.1881
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020175130317_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-23 13:03:17 UTC,11143,0601,004,59895.0,18.5847,91.5229,"(18.5847,91.5229)",26.8334,7.1207,50.7043,27.1124,31.8524,25.4373,19.22,23.9516
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020175193313_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-23 19:33:13 UTC,11147,0601,007,505656.0,49.752,384.9095,"(49.752,384.9095)",179.8858,23.0283,530.3014,193.6316,236.3751,179.0554,122.3912,165.1345
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020175193405_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-23 19:34:05 UTC,11147,0601,008,100693.0,37.2378,214.4134,"(37.2378,214.4134)",126.1166,35.0744,1230.2155,156.2046,214.4134,122.8206,37.2378,98.8081
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020176121534_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-24 12:15:34 UTC,11158,0601,004,1549749.0,10.1695,1661.4595,"(10.1695,1661.4595)",38.3658,26.5831,706.6621,39.2176,57.5067,31.1714,10.1695,27.0247
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020176184523_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-24 18:45:23 UTC,11162,0601,008,498510.0,67.0842,356.0622,"(67.0842,356.0622)",199.715,39.5175,1561.6336,224.8529,292.3984,201.5021,112.1436,179.7689
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020176184615_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-24 18:46:15 UTC,11162,0601,009,328.0,121.727,222.0705,"(121.727,222.0705)",181.5239,22.1259,489.5561,195.9555,222.0705,184.6507,139.4728,173.342
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020179175832_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-27 17:58:32 UTC,11208,0601,010,954227.0,69.7216,392.3919,"(69.7216,392.3919)",170.9649,23.4868,551.631,185.1635,227.5011,168.1589,114.5994,156.9371
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020179175924_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-27 17:59:24 UTC,11208,0601,011,78272.0,17.7275,233.7995,"(17.7275,233.7995)",143.8004,30.4984,930.1513,165.9954,229.2489,148.1869,60.0551,123.5524
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020180171039_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-28 17:10:39 UTC,11223,0601,006,82937.0,119.7883,355.8331,"(119.7883,355.8331)",200.943,24.983,624.1509,215.4803,258.3649,202.1525,144.0037,186.8893
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020187144953_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-05 14:49:53 UTC,11330,0601,008,1611373.0,34.7094,268.7999,"(34.7094,268.7999)",113.3677,19.8051,392.2436,126.0723,163.688,113.9457,63.378,100.9946
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020188140158_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-06 14:01:58 UTC,11345,0601,006,256702.0,25.4116,1497.3488,"(25.4116,1497.3488)",64.459,25.977,674.8035,75.5112,118.6198,59.0239,25.4116,46.7692
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020191131557_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-09 13:15:57 UTC,11391,0601,009,1574138.0,16.9891,1839.7969,"(16.9891,1839.7969)",36.2058,13.7164,188.1402,40.7765,58.6194,34.4008,16.9891,28.8813
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020192122818_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-10 12:28:18 UTC,11406,0601,009,287521.0,10.1209,162.4536,"(10.1209,162.4536)",26.3299,17.3294,300.307,26.77,38.3625,24.3442,10.1209,18.6279
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020203020154_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-21 02:01:54 UTC,11570,0601,004,1155283.0,13.5398,1896.5305,"(13.5398,1896.5305)",38.3773,20.6177,425.0891,38.9818,52.8045,33.6834,15.9443,29.7667
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020207002704_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-25 00:27:04 UTC,11631,0601,004,5051.0,48.96,417.2625,"(48.96,417.2625)",106.9412,66.0167,4358.1987,120.0459,196.3199,89.1247,48.96,68.3525
